CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (sim),std R (norm)
1.0,0.0013134501977291487,0.0105049346672059,1.00091,0.030152477510148316,-0.0,0.0,1.0,0.0006788225099390856
2.0,0.0020211882193567395,0.015290858996338225,2.00118,0.03739796251134545,-0.0,0.0,2.0,0.0019199999999999998
3.0,0.004045212057948735,0.027778886345163643,3.00078,0.052909277069338234,-0.0,0.0,2.999999999999999,0.0035272652296077745
4.0,0.0065067789415843525,0.04155886521083621,4.00078,0.06707750442585055,-0.0,0.0,4.0,0.005430580079512685
5.0,0.009291961376491326,0.055990521523013405,5.00104,0.08011815274954859,-0.0,0.0,5.000000000000001,0.007589466384404111
6.0,0.012388077421574398,0.07101946120249329,6.00079,0.0924628352366506,-0.0,0.0,5.999999999999998,0.009976612651596729
7.0,0.01598674902185388,0.08748170131147254,7.00194,0.10495826027521608,-0.0,0.0,7.000000000000003,0.01257196881956045
8.0,0.018936479274610264,0.10033184424035212,8.00164,0.1141810422092915,-0.0,7.539149034055069e-230,8.0,0.015359999999999999
9.0,0.022976578419310063,0.11715966825596803,9.00178,0.12568544704937004,-0.0,1.969709119351399e-161,8.999999999999998,0.018328207768355302
10.0,0.026587097207185023,0.1315562105026861,10.00222,0.13511133039090395,-0.0,1.0520087650920891e-117,10.000000000000002,0.021466252583997987
11.0,0.031135101806473837,0.1489547569433889,11.00217,0.14610027754935992,-0.0,1.8158197775170372e-88,10.999999999999996,0.024765395211867693
12.0,0.03525390590369586,0.16409334921545904,12.00194,0.15535841271073803,-0.0,3.463114666969658e-68,12.000000000000007,0.02821812183686223
13.0,0.039918345300288684,0.1806137264270331,13.00181,0.16518693622680938,-0.0,1.1047735951053964e-53,13.000000000000002,0.03181788176481898
14.0,0.04389872884331982,0.19424138700440496,14.00203,0.17310655417978832,-0.0,4.860252844381966e-43,13.999999999999993,0.03555889762070807
15.0,0.048859853233794395,0.21068034273663266,15.00246,0.18246629387369054,-0.0,4.6898436333514065e-35,15.000000000000014,0.03943602414037201
16.0,0.0557412403866465,0.23257949851423237,16.00326,0.19465192626840355,-0.0,5.973574449029568e-29,16.000000000000018,0.04344464063610154
17.0,0.057451714879661976,0.237873178394318,17.00292,0.197563846895124,-0.0,3.331097057204602e-24,17.000000000000004,0.04758056746193766
18.0,0.064796754113937,0.2599852003814093,18.00212,0.20956026722639956,-0.0,1.8495508519466837e-20,17.999999999999996,0.051839999999999976
19.0,0.06933077817162497,0.27316638509688995,19.00232,0.21659782455047877,-0.0,1.8188275241511666e-17,19.00000000000002,0.05621945570707714
20.0,0.07476009451258954,0.28851713623617353,20.00374,0.2246909263855575,3.2034265038149186e-16,1.0787406012803655e-14,19.99999999999998,0.06071573107523278
21.0,0.08024042414495867,0.30356453012731094,21.00308,0.23257367348863886,2.8190153233571555e-14,9.169911841365665e-13,21.00000000000003,0.06532586623995136
22.0,0.08724284703073669,0.32218257263201067,22.0027,0.2422245033022052,1.3656207185769456e-12,3.9175007899401197e-11,22.000000000000025,0.07004711557230615
23.0,0.09230941138635738,0.33525514596067096,23.00334,0.24893542214799405,3.50352349873484e-11,8.913377180109634e-10,23.00000000000001,0.07487692301370301
