CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (norm),std R (norm)
1.0,0.0012268122538592646,0.009895981570997728,1.00085,0.029142366067291106,-0.0,0.0,1.0,0.0007155417527999327
2.0,0.0013856524589028424,0.011008013087309327,2.0008,0.0309735370921695,-0.0,0.0,2.0,0.002023857702507763
3.0,0.0039439433971980445,0.027184267932224993,3.00055,0.052246507060281076,-0.0,0.0,2.999999999999999,0.0037180640123591186
4.0,0.007115578312787914,0.044802829435449054,4.00118,0.07013278548581968,-0.0,0.0,4.0,0.005724334022399462
5.0,0.01014890585783459,0.06024391460915876,5.00107,0.08371890527234574,-0.0,0.0,5.000000000000001,0.008000000000000004
6.0,0.012460836079122765,0.07136212246252954,6.00096,0.09273121588763948,-0.0,0.0,5.999999999999998,0.010516273104099185
7.0,0.016424446619607243,0.0894221207456411,7.00098,0.10639097518116841,-0.0,0.0,7.000000000000003,0.013252018714143148
8.0,0.020457507397460446,0.10676440638296136,8.0018,0.11864552246081601,-0.0,7.319778579989783e-207,8.0,0.016190861620062103
9.0,0.024296451992233268,0.1224876362981221,9.00148,0.12922000464324404,-0.0,2.70654880397005e-145,8.999999999999998,0.019319627325598176
10.0,0.029808959810533216,0.1439597634205353,10.00205,0.14298880200910838,-0.0,6.034829725838559e-106,10.000000000000002,0.02262741699796953
11.0,0.03148894564524127,0.15027721202184538,11.00149,0.14692780506085293,-0.0,1.2248989678241663e-79,10.999999999999996,0.02610501867457672
12.0,0.03839148765604772,0.17527430551346337,12.00282,0.16202483636776183,-0.0,2.1633255828979674e-61,12.000000000000007,0.02974451209887299
13.0,0.04107568258867195,0.18461868560310268,13.00271,0.16751912099817143,-0.0,2.4193988178741145e-48,13.000000000000002,0.03353899223292197
14.0,0.04677201634135119,0.20383255154859017,14.0022,0.17859216108217063,-0.0,9.085302004935679e-39,13.999999999999993,0.03748236918872656
15.0,0.050382896401675856,0.21561391917685735,15.00202,0.18524556566892503,-0.0,1.3814803935545147e-31,15.000000000000014,0.041569219381653116
