sel,mean(delay) [ns]
0,2.8027522935779814
1,3.1365503080082133
2,3.1333333333333337
3,2.887523629489603
4,3.076535750251762
5,3.4239282712244328
6,3.417225950782998
7,3.1847797758665624
8,3.5430559582487673
9,3.791498603785293
10,3.585680751173709
11,3.3869179600886916
12,3.772769373263353
13,4.035667107001321
14,3.8343269532475683
15,3.6153846153846154
16,3.26127568721644
17,3.595175051485731
18,3.5994108983799706
19,3.3571428571428568
20,3.0960222954142385
21,3.4432234432234434
22,3.440315315315315
23,3.2048255966430634
24,3.735860593090798
25,3.9817530140110784
26,3.7797711104237552
27,3.5846289234379585
28,3.9419354838709673
29,4.20509291121817
30,4.00262037340321
31,3.78328173374613
32,3.1889352818371606
33,3.5226289997117326
34,3.544083526682135
35,3.3080671358960476
36,3.467650397275823
37,3.7657935285053927
38,3.750767341927563
39,3.516546762589928
40,3.471590909090909
41,3.7267459591338827
42,3.52873231302339
43,3.317046688382193
44,3.492426407545013
45,3.754224270353302
46,3.5533585344576912
47,3.3342428376534787
48,2.698167365864429
49,3.030753968253968
50,3.0277502477700695
51,2.7816981561575234
52,3.23966065747614
53,3.557496360989811
54,3.5533585344576912
55,3.3188484519282997
56,3.2456839309428953
57,3.501432664756447
58,3.3009184224743384
59,3.0881981298963863
60,3.2551944592434734
61,3.5175590097869893
62,3.3161465400271375
63,3.0960222954142385
64,2.8411997209951174
65,3.1748506105481944
66,3.1707317073170733
67,2.9255446492698107
68,3.106253177427555
69,3.4539287733182586
70,3.447108603667137
71,3.2140978432404
72,3.5846289234379585
73,3.833124215809285
74,3.6261127596439167
75,3.4287317620650954
76,3.816364772017489
77,4.078771695594126
78,3.876903553299492
79,3.657587548638132
80,3.295577130528587
81,3.6282660332541568
82,3.6315007429420505
83,3.3897364771151177
84,3.1397738951695784
85,3.4864479315263908
86,3.4824736392134508
87,3.247408982195057
88,3.7669543773119605
89,4.013136288998358
90,3.8116032439176544
91,3.616454572358686
92,3.972691807542263
93,4.235701906412478
94,4.033003300330033
95,3.81398252184769
96,3.231949219783126
97,3.565800992121389
98,3.5877862595419847
99,3.3506992048258843
100,3.509477311889719
101,3.808039887815519
102,3.7938528407326917
103,3.5585323238206175
104,3.5145240149554215
105,3.769278223318939
106,3.5720549546916107
107,3.358988455195162
108,3.5317919075144513
109,3.7938528407326917
110,3.593060864451632
111,3.3738266151297625
112,2.7313366115333038
113,3.0634244171471545
114,3.0618892508143327
115,2.815668202764977
116,3.27350656308599
117,3.589894242068155
118,3.585680751173709
119,3.351618211738892
120,3.2778969957081543
121,3.533834586466165
122,3.333333333333333
123,3.1205311542390195
124,3.2884822389666306
125,3.551293228712584
126,3.3497807017543857
127,3.130122950819672
128,2.9617062530295684
129,3.2946885953087084
130,3.2920258620689657
131,3.045862412761715
132,3.2328042328042326
133,3.5783308931185944
134,3.5716373047807277
135,3.33879781420765
136,3.7086494688922613
137,3.9546925566343045
138,3.743872549019608
139,3.5502614758861126
140,3.9406643018381167
141,4.203646370829033
142,4.0
143,3.782110801609409
144,3.7210718635809985
145,4.0544127405441275
146,4.0544127405441275
147,3.806853582554517
148,3.5343456993655673
149,3.89171974522293
150,3.888005090677696
151,3.652121936640765
152,4.20509291121817
153,4.450109249817917
154,4.247480013903371
155,4.051724137931034
156,4.409960303139661
157,4.673040152963671
158,4.469641550841258
159,4.2504347826086954
160,3.5185718399078607
161,3.8512448786637252
162,3.875673961306692
163,3.6423248882265273
164,3.791498603785293
165,4.089692101740294
166,4.074691563854619
167,3.8391454602576185
168,3.816364772017489
169,4.073333333333333
170,3.874445149017121
171,3.6630695443645083
172,3.810414717804802
173,4.071976007997335
174,3.8719898605830165
175,3.6532137518684604
176,3.0742138364779876
177,3.4048481471161884
178,3.4020044543429844
179,3.155176865478957
180,3.6089781453041936
181,3.925473819466752
182,3.919178960872354
183,3.6851628468033777
184,3.6100443131462336
185,3.867088607594937
186,3.6652669466106778
187,3.4549052869663557
188,3.6218138707765264
189,3.884297520661157
190,3.682941531042797
191,3.4627373193539244
192,2.457269253971446
193,2.791228871630882
194,2.7886809675947055
195,2.5426550145651268
196,2.7282875641884345
197,3.0742138364779876
198,3.067269076305221
199,2.8346091394108095
200,3.2090336134453783
201,3.4558823529411766
202,3.244822092405735
203,3.0511860174781527
204,3.440315315315315
205,3.703030303030303
206,3.5004296763105125
207,3.2822992210582864
208,3.2065074783521386
209,3.539976825028969
210,3.539976825028969
211,3.292912961465912
212,3.020266930301532
213,3.377556661138751
214,3.3747583540458437
215,3.138967377343951
216,3.694074969770254
217,3.9393939393939394
218,3.7370030581039755
219,3.539976825028969
220,3.8979266347687402
221,4.162125340599455
222,3.958535795270489
223,3.7392900856793143
224,3.009111056390052
225,3.3424507658643328
226,3.366391184573003
227,3.1333333333333337
228,3.28759752488566
229,3.585680751173709
230,3.5699678644463924
231,3.335152838427948
232,3.306277056277056
233,3.56268221574344
234,3.3636113404899532
235,3.152734778121775
236,3.300027005130975
237,3.5616438356164384
238,3.3608360836083606
239,3.1421959372589354
240,2.560234653257909
241,2.893677480464125
242,2.888206097849208
243,2.6410200994164685
244,3.0936708860759494
245,3.408647140864714
246,3.403899721448468
247,3.1699092088197145
248,3.0983772819472617
249,3.3543782596760914
250,3.152734778121775
251,2.942451240067421
252,3.10941475826972
253,3.3719646799116996
254,3.1707317073170733
255,2.9509780246317314
