sel,mean(delay) [ns]
0,2.3792834890965735
1,2.5206270627062706
2,3.0634244171471545
3,2.6663757364171943
4,2.765331522968997
5,2.906064209274673
6,3.448081264108352
7,3.051948051948052
8,2.7842333105491
9,2.9241445321847332
10,3.467650397275823
11,3.07035175879397
12,2.1289198606271778
13,2.2696879643387815
14,2.8124280782508633
15,2.4154971338209132
16,2.210964356793921
17,2.3513565518568407
18,2.8943628612032213
19,2.497445330063356
20,2.596133418313151
21,2.736842105263158
22,3.2796564680622655
23,2.8827553668318
24,2.6150224695056705
25,2.7553551296505074
26,3.298245614035088
27,2.9012345679012346
28,1.960847240051348
29,2.1014617368873605
30,2.6450216450216453
31,2.247562994298326
32,2.819566220581449
33,2.9595543715185273
34,3.503440366972477
35,3.106253177427555
36,3.2056663168940194
37,3.3461117196056955
38,3.8892425206874606
39,3.492426407545013
40,3.224274406332454
41,3.3645374449339203
42,3.9078989446754075
43,3.5114942528735633
44,2.5688459112886273
45,2.7095343680709534
46,3.2525951557093427
47,2.855807431642907
48,2.970345162858532
49,3.1109979633401226
50,3.6543062200956937
51,3.257797920554519
52,3.356220818456468
53,3.496423462088698
54,4.039669421487603
55,3.643410852713178
56,3.3747583540458437
57,3.5155350978135793
58,4.058452341414812
59,3.6619718309859155
60,2.7203918076580584
61,2.8604868913857677
62,3.403899721448468
63,3.0068897637795278
