sel1,sel0,mean(delay0) [ns],mean(delay1) [ns],mean(CSC),var(CSC)
512,0,3.1873379093333716,3.9452544209962666,3.981132075471698,0.5845496618013527
256,0,3.187789960612951,3.9455257790965073,3.5925925925925926,1.8340192043895744
128,0,3.1879054732443732,3.9454540864185756,3.888888888888889,1.5432098765432096
64,0,3.187831133833977,3.9454242996368634,3.792452830188679,1.4852260590957638
32,0,3.1879902295889404,3.9456665740084937,3.962962962962963,1.2578875171467763
16,0,3.187959376342823,3.9458436731773285,3.740740740740741,1.3401920438957478
8,0,3.1879969769731455,3.9458034141478406,3.943396226415094,1.41189035243859
4,0,3.1879286689632758,3.9461501513483626,3.6666666666666665,1.5555555555555558
2,0,3.187843854806969,3.9461147838865607,3.888888888888889,1.0246913580246917
1,0,3.1883020066737955,3.946097528055654,3.811320754716981,1.2096831612673549
0,524288,3.1885532006692787,3.945984947578562,3.759259259259259,1.5901920438957475
0,262144,3.1881227701982295,3.9458275547654194,4.09433962264151,0.08543965824136701
0,131072,3.187943981261394,3.945772564653151,3.7777777777777777,1.5061728395061724
0,65536,3.1882830236318154,3.946055999617258,3.6666666666666665,1.703703703703704
0,32768,3.188184273646768,3.9459171615413755,3.9056603773584904,1.104307582769669
0,16384,3.1881211389991737,3.9458152505740087,3.6296296296296298,1.5665294924554176
0,8192,3.1882058939393776,3.9462091551367453,3.962962962962963,0.813443072702332
0,4096,3.188177536658705,3.946188275549547,3.547169811320755,1.9081523673905303
0,2048,3.188083055571915,3.9460557541625385,3.6481481481481484,1.4132373113854597
0,1024,3.1881520666342023,3.946079413901797,3.6481481481481484,1.894718792866941
0,512,3.1883495857968223,3.946109618803924,3.7169811320754715,1.5991456034175862
0,256,3.1883445439380833,3.946268966697809,3.6296296296296298,1.714677640603566
0,128,3.1883676968085983,3.9461501406689212,3.574074074074074,2.170438957475994
0,64,3.1883738122104517,3.9461520323531736,4.188679245283019,0.3794944820220719
0,32,3.1889147678552643,3.9461147851637515,3.962962962962963,0.6652949245541839
0,16,3.188835962347863,3.9458451049153624,3.452830188679245,1.8326806692773232
0,8,3.1884293049090355,3.9453598169998196,3.6666666666666665,1.4074074074074074
0,4,3.1883676597963135,3.945654963364453,3.6481481481481484,1.9687928669410155
0,2,3.188185775823539,3.9459358973888503,3.8867924528301887,1.0815236739053042
0,1,3.1880287160958636,3.9457725425554417,3.537037037037037,2.7301097393689995
638976,0,3.18870668875439,3.945796180891205,3.9444444444444446,0.7561728395061732
319488,0,3.1883020280386587,3.9453882550112547,3.9622641509433962,0.9419722321110713
159744,0,3.1880750110311458,3.945501217570864,3.8703703703703702,1.4091220850480108
79872,0,3.1882367162261622,3.9458433643843986,3.9444444444444446,0.8672839506172842
39936,0,3.188185337331237,3.9457554623637505,4.037735849056604,0.5268778924884302
19968,0,3.188074945482518,3.9456073692711766,4.111111111111111,0.20987654320987656
9984,0,3.18809033453799,3.945560171070289,3.7222222222222223,1.4598765432098773
4992,0,3.188310006019313,3.945640682017795,3.7735849056603774,1.5336418654325379
2496,0,3.1882444505136966,3.945418624695591,3.8518518518518516,1.2373113854595341
1248,0,3.1883187647077853,3.945719214516091,3.6792452830188678,1.500889996440014
624,0,3.1881596883586507,3.9456781664621463,3.740740740740741,1.7105624142661182
312,0,3.188961011088596,3.945548530901348,3.759259259259259,1.3679698216735252
156,0,3.1891028553475613,3.946109547323604,3.849056603773585,1.1847632609469558
78,0,3.188136546692625,3.9456781809481547,3.9074074074074074,1.232167352537723
