maxCount,delay [10ns (clks)]
60,985326273.9138796
61,43934467.5712098
62,41708388.56759137
63,29228672.372435324
64,2084363.7627118644
65,7723744.49812899
66,1158543.8634930644
67,275726.0597339126
68,282305.5760052305
69,302054.61851156974
70,295894.4161656647
71,230095.98825312618
72,226960.96866840732
73,268720.79440451745
74,116685.7438572871
75,65007.03234381923
76,67378.46888125238
77,76308.96272401433
78,65129.13894612894
79,68472.07238912732
80,72854.8808528428
81,75022.92118226601
82,76104.49119021934
83,64717.898620946704
84,74739.29376384932
85,61641.63413793103
86,101091.45078196873
87,65539.50246036085
88,59071.13539538955
89,76925.05471478464
90,73381.02695680415
91,77571.83657942788
92,74956.60984730445
93,79807.4456991033
94,83418.67049934297
95,75988.73903324951
96,87376.27270139482
97,75981.39793614963
98,95509.63042779028
99,67241.67137920202
100,81558.12993197278
101,73095.3345060893
102,81980.1820168592
103,59011.41145102442
104,64990.45875810936
105,73379.33148039789
106,83593.44217462932
107,98747.89250645995
108,62102.71721912584
109,61545.21043627032
110,80266.40942028986
111,77082.70904066325
112,79353.05784447477
113,72795.06936965474
114,60427.81015719468
115,81463.1182833217
116,80149.24617737003
117,80799.54232804233
118,65663.05103448276
119,82864.23085802232
120,61676.281382656154
121,94598.99870365568
122,62048.89240506329
123,66934.53096330275
124,63069.29145876137
125,72366.21524663677
126,70628.34915677701
127,65641.96566015393
128,84960.13783160324
129,65259.122929380996
130,65722.41548019674
131,67394.74760661444
132,66766.71365395247
133,69210.29931972788
134,60690.85763888889
135,69284.93797564688
136,68320.38797519547
137,83144.36812211573
138,67326.55120373698
139,69801.79100145138
140,82594.60888710969
141,78848.14228110599
142,64186.73708412226
143,81620.74891236793
144,67404.56368257555
145,66647.561760841
146,74169.15115532734
147,62314.12244309997
148,63853.66564511186
149,82469.53896103895
150,69962.79421221865
151,79833.27027809965
152,69271.07318789585
153,87853.94397677794
154,65476.1245016866
155,68708.08387418871
156,70764.35362232779
157,54647.16166477916
158,76147.26128940642
159,74727.22678125867
160,72061.61806180618
161,71145.01201201201
162,70011.86436995654
163,73538.30281948004
164,66255.92094427669
165,73901.97328646749
166,61154.994803695154
167,66136.0893712097
168,87586.09062621547
169,70036.40243490024
170,61856.71294942999
171,66935.42749326145
172,63757.39056865465
173,58766.93079698262
174,67452.56077348067
175,73631.88545095458
176,62464.0552662037
177,70302.56445370647
178,67385.54208974779
179,74725.39255014327
180,72103.30726583017
181,63052.595620437954
182,63716.7093175853
183,65416.38985507246
184,57316.10024227741
185,78922.46678141136
186,77230.87931561259
187,70816.19341275403
188,69439.07837087319
189,98983.84687868081
190,75324.96610629067
191,72150.0918975798
192,69959.7288945524
193,68721.31053036125
194,77440.43048327138
195,76993.88401024515
196,66051.35588828103
197,73859.98594077176
198,71493.04990476191
199,70270.4777952756
200,75387.73419709461
201,62268.847899159664
202,74148.93796207008
203,71012.89858490566
204,72654.7660944206
205,75024.76440739399
206,70733.03451131971
207,85303.87525742866
208,68704.5492383025
209,68603.95306748466
210,70562.68080517613
211,79112.25
212,76075.66236494598
213,66957.39610927152
214,85579.23879310345
215,63038.32446063323
216,67201.7309739223
217,70591.87621982537
218,58507.915761886936
219,76998.2681503101
220,60869.82480368264
221,74341.97930218806
222,73777.35470708249
223,63044.75029342723
224,72583.99157540017
225,68934.48026101141
226,59886.54294478527
227,69601.29789053592
228,72828.02131979696
229,70556.12960795788
230,76855.7345750873
231,63074.02850228556
232,86993.20804142553
233,69676.18117710877
234,81301.18990228014
235,67044.61385826772
236,74530.53056516724
237,67482.85507733692
238,80786.06428172163
239,72364.70073190567
240,77615.80491382472
241,85023.04856641311
242,62146.19515226849
243,61531.21742738589
244,68552.67895318836
245,68371.23691695108
246,77591.21578947369
247,75528.99280191949
248,75724.07820976492
249,65652.66082317074
250,64823.23936170213
251,69130.2232404692
252,60890.779801324505
253,88783.61773049645
254,72549.87032487032
255,66014.47093023256
256,71931.43472270065
257,81793.55239520958
258,79763.04078947369
259,70886.60579391272
260,82459.73693960726
261,79000.75871687588
262,73721.28829629629
263,60399.13388324873
264,65080.463541666664
265,72501.84807916182
266,82634.43035714286
267,62750.66700715015
268,66822.67320974192
269,75484.44613536244
270,98610.98795924668
271,70599.89688581316
272,62655.23699664429
273,68404.66850068775
274,87561.2889423077
275,71033.21542940321
276,68552.1095890411
277,62524.49119295437
278,64452.95421686747
279,63962.60700389105
280,65548.08666191155
281,72837.59401114206
282,62057.98348980252
283,65586.25136087096
284,69816.55121788455
285,81700.23172804533
286,76377.67587285045
287,70788.0976331361
288,72183.73292867982
289,66922.73053720195
290,65155.250603378925
291,61334.50579150579
292,69456.40158615717
293,62306.144310060474
294,71570.46891102714
295,61563.52668621701
296,63359.10555149744
297,84897.1510115607
298,60701.8179215574
299,70062.07777013077
