sel1,sel0,mean(delay0) [ns],mean(delay1) [ns],mean(CSC),var(CSC)
0,0,1.8196037539103234,1.4335151621795998,3.94888178913738,1.9079300595086202
0,1,1.8259245423982071,1.4400235779546124,3.9463869463869465,1.8502724936291373
0,2,1.8152109328579915,1.4265701611020312,3.7785547785547786,1.995251058188121
0,3,1.816830211121023,1.44248937175248,4.284382284382285,1.592786389989187
0,4,1.8260609683203826,1.4299087292300492,3.757575757575758,2.0158225612771066
0,5,1.8273618071658315,1.4328445747800587,3.717948717948718,1.9554121092582633
0,6,1.8288665967959274,1.4373970345963758,3.5128205128205128,1.9561293407447256
0,7,1.836565929935348,1.4447072738024838,3.675990675990676,1.9905890535261164
0,8,1.8201795162785634,1.4211352890107696,3.555813953488372,2.088745267712277
0,9,1.8171675096697413,1.4212607583158874,3.815850815850816,2.0336881455762574
0,10,1.8196709105800015,1.4159086959040612,2.8111888111888113,1.360620731250102
0,11,1.8216389530982031,1.4289890662456877,3.484848484848485,2.119234301052483
0,12,1.8234064785788924,1.4208476251380733,2.902097902097902,1.6873848761960648
0,13,1.8215696504434673,1.4244067401317708,3.7412587412587412,1.986666014638043
0,14,1.8175730972397888,1.4260707200373441,3.613053613053613,2.1206687640254076
0,15,1.822726255315974,1.4342746433393998,3.6503496503496504,1.9942947495395043
0,16,1.8064897627319092,1.403710298087416,2.6488372093023256,1.3580800432666307
0,17,1.8052888166642045,1.408881199538639,3.132867132867133,1.8774512201085627
0,18,1.8040171318859843,1.4041036841197772,2.8414918414918415,1.657858846670035
0,19,1.8103703703703702,1.4108339108339107,3.125874125874126,1.9282116484913692
0,20,1.799175500588928,1.4105967909500172,3.515151515151515,2.030656212474394
0,21,1.8006336108450602,1.4148375513986218,3.5337995337995336,2.0810254236827666
0,22,1.8063562453806357,1.4096128324966823,3.2051282051282053,1.9765704381088995
0,23,1.8117123795404002,1.4187815784888786,3.7162790697674417,2.086944294213088
0,24,1.8054837040869116,1.4136155937301174,3.6713286713286712,1.9782222439565105
0,25,1.8024928092042187,1.4175511861260948,3.745920745920746,2.0729728701756676
0,26,1.8021540277367956,1.4041941970698075,2.9510489510489513,1.7761585733613703
0,27,1.803690036900369,1.4144337056542624,3.4685314685314683,2.0532055357230177
0,28,1.8003683241252302,1.4101084698822985,3.5477855477855478,2.0705603642666577
0,29,1.8031577394127196,1.4120637855327018,3.7785547785547786,1.953293016230079
0,30,1.8052168772629869,1.418867924528302,3.682983682983683,2.09996685521161
0,31,1.808762581409118,1.4248236460094443,3.7930232558139534,1.9315792320173066
1,0,1.8198748510131106,1.43360131447685,3.9160839160839163,1.8810699789720764
1,1,1.8265420560747665,1.4401885680612847,4.083916083916084,1.619997717899816
1,2,1.8158168574401665,1.426902634191928,3.599067599067599,2.0956634662928364
1,3,1.8173026854124825,1.4426597378055983,4.305361305361306,1.5547731212066878
1,4,1.826333881333134,1.4298250745919383,3.836829836829837,1.898783423258948
1,5,1.8273618071658315,1.4326765188834154,3.5291375291375293,2.034698789943545
1,6,1.8289306293496967,1.437308868501529,3.5734265734265733,1.9555642492705427
1,7,1.836565929935348,1.444621843770327,3.7883720930232556,1.8552136289886427
1,8,1.8204172876304023,1.421012849584278,3.5384615384615383,2.0573785189169804
1,9,1.8171675096697413,1.421095476218165,3.7855477855477857,2.009954303660598
1,10,1.8194682356445968,1.4159035585951083,2.738927738927739,1.4609788036361466
1,11,1.821705426356589,1.4289892372484791,3.5757575757575757,2.015822561277107
1,12,1.823336317517159,1.4209271215029373,3.034965034965035,1.8146282621807097
1,13,1.821231549127777,1.4243254268896788,3.6736596736596736,2.0846441825462807
1,14,1.8177083333333333,1.426153935928109,3.5920745920745922,2.097000124972153
1,15,1.8231343283582089,1.4344430743937524,3.6511627906976742,1.9108707409410488
1,16,1.80662329982259,1.4040328603435401,2.675990675990676,1.3845284474655104
1,17,1.8054837040869116,1.408881199538639,3.254079254079254,1.979732776935574
1,18,1.8038839252750498,1.403710298087416,2.7296037296037294,1.4373753674452974
1,19,1.8102362787941635,1.4106709781729991,2.941724941724942,1.7658347868138078
1,20,1.7993665758267658,1.4107524397990414,3.48018648018648,2.0304932053183795
1,21,1.8006336108450602,1.4148375513986218,3.55011655011655,2.1216142055302893
1,22,1.8063562453806357,1.4096204867920177,3.1771561771561774,1.9219956422753623
1,23,1.8118118053452434,1.4187031984675218,3.8348837209302324,1.9704110329908062
1,24,1.805422176257664,1.4132886138900134,3.839160839160839,1.9018696920794818
1,25,1.8024199498303084,1.4171355647079298,3.578088578088578,2.155324085394015
1,26,1.8020210961127092,1.404113524072159,3.0722610722610724,1.9365032791606216
1,27,1.8037507383343176,1.4141881726652008,3.624708624708625,2.061953586429111
1,28,1.8006336108450602,1.4101898332467833,3.757575757575758,2.020484565939111
1,29,1.8033512954897764,1.4121387283236995,3.885780885780886,1.9193549263479335
1,30,1.805422176257664,1.4189463901957367,3.6511627906976742,2.087614926987561
1,31,1.8088964547405817,1.4247405852862305,3.965034965034965,1.9218543694068169
2,0,1.819941916747338,1.43360131447685,3.8648018648018647,1.8884813709988537
2,1,1.826268969126112,1.4401885680612847,4.0093240093240095,1.7015447644818273
2,2,1.8157503714710252,1.4270693381622759,3.710955710955711,1.991045473562956
2,3,1.8172354821919845,1.4427449359239355,4.300699300699301,1.5529365739155951
2,4,1.826268969126112,1.4300766844231108,3.703962703962704,2.0172570242500316
2,5,1.8272897196261682,1.4327605419037006,3.4615384615384617,1.9501524116908733
2,6,1.8283833320864817,1.4371398330001175,3.6069767441860465,1.903672255273121
2,7,1.8369802240769983,1.4447927139393222,3.58974358974359,1.95756380371765
2,8,1.820348577387159,1.4210097719869708,3.2867132867132867,1.9667465401731132
2,9,1.817505763367294,1.421095476218165,3.766899766899767,1.9922843279486642
2,10,1.819941916747338,1.4159086959040612,2.7995337995337994,1.4376687803261228
2,11,1.8222487324783776,1.429156189696509,3.5571095571095572,2.0602583120065634
2,12,1.8241528586356173,1.4208476251380733,2.9207459207459205,1.658054455257253
2,13,1.8221824420079065,1.4244067401317708,3.6666666666666665,2.0404040404040407
2,14,1.81838481577968,1.426069698207927,3.555813953488372,2.0236289886425096
2,15,1.8234064785788924,1.4342723004694835,3.696969696969697,1.9408066680793956
2,16,1.8070240295748614,1.4037809573062114,2.687645687645688,1.3616422427611239
2,17,1.8058840922531048,1.4087187175642948,3.062937062937063,1.853847783917714
2,18,1.8041503581714793,1.4032971451548049,2.5174825174825175,1.1308132427013546
2,19,1.8111053450960042,1.4104339796860574,2.9184149184149186,1.650686531805413
2,20,1.8000294724432655,1.4104339796860574,3.484848484848485,2.072614254432436
2,21,1.801091123562371,1.4147612156295226,3.554778554778555,2.1257871887242517
2,22,1.8067568566570564,1.4093727461534225,3.218604651162791,1.9708166576527855
2,23,1.8118466898954706,1.41869918699187,3.8065268065268065,1.9788851397243008
2,24,1.8054837040869116,1.4135277440259215,3.769230769230769,1.9537385691231846
2,25,1.8025529403084186,1.4176289676782916,3.7156177156177157,2.0216908188936165
2,26,1.8020940864179325,1.403871560687001,3.020979020979021,1.8527067338256147
2,27,1.80382316038084,1.4141063472776716,3.5454545454545454,2.042805679169316
2,28,1.8005009577132756,1.4099382466670516,3.8111888111888113,1.9666813373107077
2,29,1.8035569330676704,1.4117375231053606,3.8255813953488373,1.902136289886425
2,30,1.8056171470805618,1.418538510650647,3.68997668997669,2.0926967360533792
2,31,1.8088964547405817,1.4245728613913347,4.0256410256410255,1.796545335006874
3,0,1.8198748510131106,1.4333489791128842,3.9463869463869465,1.7896664330230765
3,1,1.826333881333134,1.4401084649846734,3.9557109557109555,1.8325373150547979
3,2,1.8156154817621275,1.4268200128437152,3.687645687645688,2.0096608907797715
3,3,1.8172354821919845,1.4428242517267844,4.337995337995338,1.4778337435680096
3,4,1.8264055023923444,1.4299092771436932,3.703962703962704,2.054553061546069
3,5,1.8275630000747776,1.4326765188834154,3.4906976744186045,1.9708436992969172
3,6,1.8285928143712573,1.4368897776732148,3.629370629370629,1.9488809558739628
3,7,1.8367040072175025,1.4444510140128894,3.668997668997669,1.9184094848430513
3,8,1.8208243273459044,1.4210097719869708,3.344988344988345,1.978885139724301
3,9,1.8175730972397888,1.421175101803374,3.7599067599067597,2.056574350280644
3,10,1.8197392923649907,1.4156626506024097,2.624708624708625,1.1761727006482252
3,11,1.8217747949291574,1.4287384543435053,3.5384615384615383,1.992110453648915
3,12,1.8240167176654976,1.4206824391094577,2.976689976689977,1.6917643351209786
3,13,1.8216389530982031,1.4240764479664376,3.7767441860465114,1.9501568415359651
3,14,1.8177761249535143,1.4258200070036187,3.6223776223776225,2.02523350775099
3,15,1.823200298396121,1.4342723004694835,3.617715617715618,1.9564227536255514
3,16,1.8072200029590177,1.4040328603435401,2.7062937062937062,1.4661841654848646
3,17,1.8061511163684754,1.408889145097135,3.195804195804196,1.9336886889334441
3,18,1.8041503581714793,1.403307303628847,2.515151515151515,1.1169032987214806
3,19,1.8109710896960713,1.4106782106782108,2.9557109557109555,1.7626072451247274
3,20,1.799764255193753,1.4107524397990414,3.578088578088578,2.038773968843899
3,21,1.801091123562371,1.4150834105653383,3.6372093023255814,2.0869875608436996
3,22,1.8070240295748614,1.410027115906075,3.2097902097902096,1.9792980911862035
3,23,1.8123145400593472,1.41903268884631,3.696969696969697,2.0526947799675077
3,24,1.806222747764393,1.4136973623322535,3.717948717948718,1.974060127906282
3,25,1.8029520295202952,1.4174644618508847,3.7925407925407923,2.0338837541634747
3,26,1.8025529403084186,1.403710298087416,3.0046620046620047,1.8274840932183591
3,27,1.8038839252750498,1.4138549684588229,3.543123543123543,2.052336164224276
3,28,1.8003683241252302,1.410027115906075,3.727906976744186,1.9468956192536504
3,29,1.8031577394127196,1.4117375231053606,3.843822843822844,1.9453056655853862
3,30,1.8054837040869116,1.4188639795562783,3.6573426573426575,2.0947071576442204
3,31,1.8090303478904515,1.4247405852862305,3.8811188811188813,1.918268211974506
4,0,1.819806403574088,1.4335171928177446,3.797202797202797,1.8726262082905438
4,1,1.8265420560747665,1.439679547596607,3.986013986013986,1.7247461163545081
4,2,1.8157503714710252,1.426652651249708,3.6853146853146854,2.010530262278514
4,3,1.8177083333333333,1.4427390791027155,4.314685314685315,1.5116957634440151
4,4,1.8264703684328527,1.4299087292300492,3.648018648018648,2.092892344640596
4,5,1.8274263496336174,1.4325068870523416,3.541860465116279,1.9970849107625745
4,6,1.8285928143712573,1.43705533015817,3.7156177156177157,1.928450725653523
4,7,1.836565929935348,1.4444444444444442,3.727272727272727,1.8906547997457088
4,8,1.8204172876304023,1.4209302325581397,3.386946386946387,2.0227666661233097
4,9,1.816965281391718,1.4208476251380733,3.662004662004662,2.060584326318592
