sel1,sel0,mean(delay0) [ns],mean(delay1) [ns],mean(CSC),var(CSC)
0,0,0.979881282312,5.31011633304,2.83241758242,0.436201847603
0,1,1.06154169369,5.65555825564,2.20879120879,1.64871392344
0,2,1.77208277311,4.30908546909,0.541208791209,1.08896117619
0,3,2.05012378972,4.35568644221,6.90934065934,0.148374290545
0,4,3.28076304623,5.48021323914,3.02472527473,0.265872177273
0,5,3.55727737789,5.80185583005,2.65384615385,0.369188503804
0,6,2.1736733994,4.43493835109,16.2967032967,0.208670450429
0,7,2.43810385449,4.51148398828,6.88736263736,0.380169967395
0,8,2.94494106689,4.54952182422,0.553424657534,1.23892662789
0,9,3.20730078907,4.86312265925,0.255494505495,0.558348931288
0,10,1.83885000203,3.53261172381,10.5796703297,5.33156472648
0,11,2.1106164665,3.59851980777,2.77472527473,0.256943605845
0,12,3.0466653878,4.71087577572,0.554945054945,1.24148653544
0,13,3.44882896035,5.03596518945,0.156593406593,0.247456526989
0,14,1.93702991991,3.6692366773,8.22802197802,2.00020377974
0,15,2.20774120062,3.72300748982,2.69230769231,0.328402366864
1,0,2.87657857554,5.32986220129,6.18406593407,0.611724127521
1,1,3.13898378674,5.64794426543,4.97252747253,0.0267177877068
1,2,1.77288064521,4.3040858589,0.556164383562,1.06876337024
1,3,2.04432779905,4.38572825852,6.82967032967,0.405053737471
1,4,3.27170662846,5.47961337645,3.00824175824,0.118063941553
1,5,3.53130118311,5.79718893806,2.64010989011,0.521578009902
1,6,2.1636649648,4.45573180136,16.4945054945,0.249969810409
1,7,2.43956824592,4.52607927786,6.87087912088,0.694866260114
1,8,2.94363117678,4.55713141026,0.711538461538,1.35360312764
1,9,3.20496380715,4.88775679139,0.296703296703,0.604274846033
1,10,1.83787493542,3.51061648198,10.9368131868,3.61413929477
1,11,2.09975448087,3.60386964696,2.76098901099,0.286280340539
1,12,1.0295416036,4.69136783373,1.10989010989,1.94946262529
1,13,1.12115476911,5.03588148944,0.364383561644,0.763115030963
1,14,1.93705605345,3.65418574882,8.32142857143,2.10822213501
1,15,2.20653706033,3.74327287331,2.58791208791,0.456557179085
2,0,0.979703084857,5.31744316056,2.8489010989,0.446949341867
2,1,1.06373211743,5.70330760509,2.25549450549,1.53637090931
2,2,1.7711236674,4.31057328201,0.483516483516,0.991486535443
2,3,2.04272318394,4.37889882369,6.83791208791,0.399551684579
2,4,3.25566013038,5.48460046585,3.03846153846,0.196322907861
2,5,3.51022803563,5.77195455259,2.6510989011,0.501894396812
2,6,2.16510256739,4.45432617412,16.271978022,0.198005977539
2,7,2.43797055076,4.52483468487,6.76712328767,1.2306999437
2,8,2.9464585862,4.54848196675,0.747252747253,1.52952541964
2,9,3.20285995282,4.86824848623,0.302197802198,0.584500664171
2,10,1.83194236456,3.53221278704,10.3489010989,8.07332296824
2,11,2.10076657308,3.59953818448,2.75549450549,0.272634645574
2,12,3.05376267689,4.67097960869,0.461538461538,1.06720202874
2,13,3.30749020643,5.01248585186,0.384615384615,0.786136939983
2,14,1.92770506156,3.67045589618,8.47252747253,0.980014491004
2,15,2.2115792079,3.74293287614,2.62912087912,0.332228897476
3,0,2.8765562119,5.32840711738,6.01098901099,1.37900012076
3,1,3.14575502038,5.64958857817,4.94230769231,0.0873309382925
3,2,1.77154698137,4.30774848296,0.556164383562,1.10164008257
3,3,2.04514480795,4.38108527316,6.89835164835,0.223184096124
3,4,3.27787725259,5.51856664332,3.03296703297,0.163748339573
3,5,3.52375253759,5.77454984477,2.68681318681,0.374441492573
3,6,2.16595549186,4.45452650797,16.2994505495,0.209779917884
3,7,2.43671639769,4.54316383819,6.9478021978,0.065956708127
3,8,2.94685070803,4.52614068701,0.568681318681,1.27275540394
3,9,3.20435124121,4.84162690028,0.387362637363,0.759290846516
3,10,1.83840151271,3.52540664501,10.6208791209,6.53209153484
3,11,2.09745252689,3.59684725317,2.75824175824,0.210783721773
3,12,1.02889130997,4.69581429265,1.09340659341,1.94731916435
3,13,1.11788850001,5.01102158346,0.32602739726,0.723843122537
3,14,1.92762992755,3.66954487324,8.3021978022,1.61197319164
3,15,2.20875918683,3.74347524632,2.58516483516,0.385604093708
4,0,2.87749128914,5.3307997558,6.28571428571,0.462323390895
4,1,3.14360767837,5.65276224417,4.92582417582,0.134607837218
4,2,1.77251585072,4.3111524749,0.510989010989,0.99713198889
4,3,2.03762789103,4.37907738568,6.87362637363,0.308205530733
4,4,3.3605553381,5.47827245547,3.00549450549,0.137332447772
4,5,3.53530999208,5.77256726865,2.64285714286,0.487833594976
4,6,2.15513142259,4.43333494882,16.2967032967,0.208670450429
4,7,2.43909454739,4.5449536664,6.74246575342,1.31449802965
4,8,2.95559862914,4.50946007468,0.64010989011,1.35124833957
4,9,3.2026148831,4.86474646529,0.288461538462,0.600855874894
4,10,1.83995395974,3.52139097869,10.8241758242,5.19985508996
4,11,2.11047912199,3.58543071397,2.78296703297,0.230369218693
4,12,3.05080093303,4.70944188015,0.543956043956,1.20411182224
4,13,3.28890513849,5.01463081301,0.302197802198,0.606478686149
4,14,1.93634395774,3.66935174952,8.4010989011,1.20725153967
4,15,2.20080966878,3.74038059952,2.61538461538,0.324598478445
5,0,2.90849923231,5.33016605548,6.25,0.24793956044
5,1,3.20400319858,5.6472178615,4.9478021978,0.0824402246106
5,2,1.77016228271,4.30935294692,0.419178082192,0.807851379246
5,3,2.04576548815,4.38433112349,6.88461538462,0.266906170752
5,4,3.46945082437,5.46027007908,3.03571428571,0.358614599686
5,5,3.52032924307,5.8071941513,2.63186813187,0.485358048545
5,6,2.17387624091,4.45288130369,16.3983516484,0.239667612607
5,7,2.43514071876,4.52315289952,6.94505494505,0.150827194783
5,8,1.00806137767,4.55109338822,0.335164835165,1.23381837942
5,9,1.08148243527,4.87114475928,0.337912087912,0.872079157107
5,10,1.83739462235,3.50772708128,10.8846153846,3.77240067625
5,11,2.10955959531,3.59713896415,2.74450549451,0.327579700519
5,12,3.04274367068,4.6935679161,0.504109589041,1.15957215237
5,13,3.36506739448,5.00875153128,0.337912087912,0.646804431832
5,14,1.94061927895,3.67759053971,8.44505494505,1.13159642555
5,15,2.2006808297,3.75284375557,2.53296703297,0.518143943968
6,0,2.87814109334,5.2777848544,6.20054945055,0.682307390412
6,1,3.13874097009,5.6502954944,4.74450549451,0.849557722497
6,2,1.77565914513,4.28906882592,0.590659340659,1.17584681802
6,3,2.04255841619,4.37939488918,6.85714285714,0.353218210361
6,4,3.25625162793,5.47961947937,2.97802197802,0.114901581935
6,5,3.51561926264,5.80349098312,2.77472527473,0.295405144306
6,6,2.1633250219,4.455787759,16.2857142857,0.204081632653
6,7,2.44032728346,4.54190177303,6.58082191781,2.39689247514
6,8,2.94637330386,4.52724847612,0.681318681319,1.38745320613
6,9,3.20413391756,4.86276402345,0.269230769231,0.531910397295
6,10,1.83691423994,3.50965023248,10.8351648352,4.87392826953
6,11,2.10880647339,3.59472016027,2.76098901099,0.209357263616
6,12,3.08022092812,4.69320803851,0.486263736264,1.07948164473
6,13,3.29746148791,4.99217088482,0.285714285714,0.561224489796
6,14,1.94055938088,3.66898399269,8.15384615385,2.60270498732
6,15,2.20680903817,3.72542632881,2.63186813187,0.358984422171
7,0,0.981352134396,5.33266474726,2.80494505495,0.486678843135
7,1,1.05457537614,5.65418798878,2.40384615385,1.34515004227
7,2,1.77494914175,4.30786934681,0.597260273973,1.17204728842
7,3,2.04427932482,4.36657867331,6.89835164835,0.239667612607
